time,CRAC floor sensor_T,CRAC floor sensor_Q
532,18.1666,2.0363
1064,18.2403,1.95908
1596,18.2742,1.93188
2128,18.2799,1.929
2660,18.268,1.93607
3192,18.2749,1.93197
3724,18.257,1.94411
4256,18.2622,1.9406
4788,19.361,1.9383
5320,22.8041,1.91444
5852,22.805,1.91489
6384,22.8144,1.90969
6916,22.804,1.91575
7448,22.8009,1.91791
7980,22.7965,1.92071
8512,22.7909,1.92489
9044,22.7821,1.93042
9576,22.798,1.92283
10108,22.8008,1.92148
10640,22.7948,1.92467
11172,22.798,1.92263
11704,17.1864,1.92916
12236,11.4582,1.93327
12768,11.4611,1.92819
13300,11.4601,1.92918
13832,11.4596,1.92924
14364,11.4606,1.92629
14896,11.4607,1.92302
15428,11.4587,1.92542
15960,11.4564,1.92302
16492,11.4555,1.92251
17024,11.4537,1.92346
17556,11.4599,1.91378
18088,11.4553,1.9197
18620,11.4528,1.92276
19152,11.4537,1.91968
19684,11.4587,1.91443
20216,11.4502,1.92436
20748,11.4502,1.92372
21280,11.4475,1.92625
21812,11.4476,1.92643
22344,11.449,1.92392
22876,11.4531,1.91966
23408,11.4562,1.91782
23940,11.4517,1.92426
24472,11.4506,1.92668
25004,11.4525,1.92358
25536,11.4546,1.92168
26068,11.4518,1.92379
26600,11.4542,1.91975
27132,11.4591,1.91595
27664,11.4613,1.91168
28196,11.4564,1.91652
28728,11.4546,1.91941
29260,11.4504,1.92243
29792,11.4552,1.91838
30324,11.4553,1.91841
30856,11.4554,1.91667
31388,11.4613,1.91057
31920,11.4539,1.91883
32452,11.458,1.91524
32984,11.4572,1.91489
33516,11.4484,1.92438
